Date,Name,Year,Letterboxd URI,Rating
2022-07-31,Parasite,2019,https://boxd.it/hTha,5
2022-07-31,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2022-07-31,Ford v Ferrari,2019,https://boxd.it/ce74,3.5
2022-07-31,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,3.5
2022-08-27,Us,2019,https://boxd.it/gnV6,4
2022-09-09,The Truman Show,1998,https://boxd.it/18U8,4
2022-09-11,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4
2022-09-12,The Shining,1980,https://boxd.it/29Nu,5
2022-10-11,mother!,2017,https://boxd.it/dgRU,4
2022-10-15,Suspiria,1977,https://boxd.it/1SNW,3
2022-10-17,Rosemary's Baby,1968,https://boxd.it/29zM,4
2022-10-18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2022-10-19,A Ghost Story,2017,https://boxd.it/fb0K,4
2022-10-20,The Lighthouse,2019,https://boxd.it/icFU,5
2022-10-22,Blade Runner,1982,https://boxd.it/2bcA,5
2022-11-13,Hereditary,2018,https://boxd.it/hNVe,4.5
2022-11-20,Men,2022,https://boxd.it/tlc0,3
2022-12-12,The King of Comedy,1982,https://boxd.it/2aJS,4
2022-12-16,Enemy,2013,https://boxd.it/5xtO,4
2022-12-19,The White Ribbon,2009,https://boxd.it/17eU,4
2022-12-21,The Green Knight,2021,https://boxd.it/kuy2,3.5
2023-01-08,Stalker,1979,https://boxd.it/28PO,3
2023-01-08,Vertigo,1958,https://boxd.it/2apI,5
2023-01-09,Fresh,2022,https://boxd.it/tCNi,2.5
2023-01-09,Blow-Up,1966,https://boxd.it/2966,2
2023-01-10,Ex Machina,2015,https://boxd.it/7T2k,4.5
2023-01-11,On the Count of Three,2021,https://boxd.it/tbfI,2.5
2023-01-11,The Menu,2022,https://boxd.it/lScm,3.5
2023-01-25,Breathless,1960,https://boxd.it/2aIK,3
2023-01-25,The Holy Mountain,1973,https://boxd.it/20mu,5
2023-01-31,Rear Window,1954,https://boxd.it/2a6Q,4
2023-02-01,The Birds,1963,https://boxd.it/2a6m,3.5
2023-02-04,The Vanishing,1988,https://boxd.it/1ZTW,4.5
2023-02-12,Pearl,2022,https://boxd.it/zPbe,4
2023-02-12,Spree,2020,https://boxd.it/oiiO,2.5
2023-02-12,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3
2023-02-15,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,2.5
2023-03-06,Infinity Pool,2023,https://boxd.it/oPSK,2
2023-03-15,American Psycho,2000,https://boxd.it/28Vs,3
2023-03-19,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2023-03-21,Hour of the Wolf,1968,https://boxd.it/1H9G,3
2023-03-25,Saint Maud,2019,https://boxd.it/l8QA,3
2023-04-09,Get Out,2017,https://boxd.it/eOCm,4.5
2023-04-10,Scream 2,1997,https://boxd.it/24Es,3
2023-04-10,Bram Stoker's Dracula,1992,https://boxd.it/223a,3
2023-04-10,Scream 3,2000,https://boxd.it/24Ei,2.5
2023-04-10,Scream 4,2011,https://boxd.it/Zmc,3.5
2023-04-12,Cocaine Bear,2023,https://boxd.it/ugw2,2.5
2023-04-12,The Platform,2019,https://boxd.it/mUm6,3.5
2023-04-14,Dog Day Afternoon,1975,https://boxd.it/29bg,4
2023-04-23,Barbarian,2022,https://boxd.it/yohi,3
2023-04-24,Scream,2022,https://boxd.it/o0lg,3.5
2023-04-28,The Witch,2015,https://boxd.it/9X0m,4.5
2023-04-29,Scream VI,2023,https://boxd.it/zdfW,4
2023-04-29,X,2022,https://boxd.it/sxVa,4
2023-05-12,The Social Network,2010,https://boxd.it/17ue,4
2023-05-28,Pulp Fiction,1994,https://boxd.it/29Pq,4
2023-05-29,The Batman,2022,https://boxd.it/eDGs,5
2023-06-01,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,3
2023-06-07,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2023-06-07,M,1931,https://boxd.it/29vq,3.5
2023-06-07,Barry Lyndon,1975,https://boxd.it/25A2,5
2023-06-07,The Matrix,1999,https://boxd.it/2a1m,3
2023-06-08,Being John Malkovich,1999,https://boxd.it/2ahu,3.5
2023-06-10,Frenzy,1972,https://boxd.it/2a62,3.5
2023-06-10,Carrie,1976,https://boxd.it/20ZQ,4
2023-06-13,Free Guy,2021,https://boxd.it/k8dm,2
2023-06-13,Night of the Living Dead,1968,https://boxd.it/1WwA,4.5
2023-06-13,Under the Silver Lake,2018,https://boxd.it/dSAs,2
2023-06-24,The Boogeyman,2023,https://boxd.it/jnna,1.5
2023-06-26,Oldboy,2003,https://boxd.it/29R2,4
2023-07-12,BlacKkKlansman,2018,https://boxd.it/hxL8,4.5
2023-07-13,Nope,2022,https://boxd.it/sDCe,3.5
2023-07-15,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,4
2023-07-15,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2023-07-15,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4.5
2023-07-15,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,3
2023-07-16,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,4
2023-07-16,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
2023-07-16,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3
2023-07-17,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3.5
2023-07-17,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3.5
2023-07-17,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2023-07-17,The Silence of the Lambs,1991,https://boxd.it/2aHW,3
2023-07-17,Zodiac,2007,https://boxd.it/27MO,4.5
2023-07-17,Se7en,1995,https://boxd.it/29zs,5
2023-07-17,High and Low,1963,https://boxd.it/1RSc,3.5
2023-07-18,The Godfather,1972,https://boxd.it/2aNK,3.5
2023-07-18,The Game,1997,https://boxd.it/26vC,3.5
2023-07-19,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,4
2023-07-19,Fantastic Planet,1973,https://boxd.it/1KnQ,3.5
2023-07-19,Nathan for You: Finding Frances,2017,https://boxd.it/hufy,4.5
2023-07-19,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,3.5
2023-07-19,Possession,1981,https://boxd.it/1BPm,4.5
2023-07-19,Gone Girl,2014,https://boxd.it/6hQu,4
2023-07-20,Taxi Driver,1976,https://boxd.it/2b8y,2.5
2023-07-20,Jaws,1975,https://boxd.it/2a5e,4
2023-07-20,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2023-07-21,The Northman,2022,https://boxd.it/nK2s,4
2023-07-21,Funny Games,1997,https://boxd.it/1WKM,3.5
2023-07-21,After Hours,1985,https://boxd.it/1VfS,4
2023-07-21,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,4
2023-07-21,Scream,1996,https://boxd.it/24EC,4
2023-07-21,Halloween,1978,https://boxd.it/2wRu,4.5
2023-07-23,Dunkirk,2017,https://boxd.it/d0Y6,3
2023-07-25,Decision to Leave,2022,https://boxd.it/qp9e,4.5
2023-07-26,The Handmaiden,2016,https://boxd.it/948A,3.5
2023-07-28,Good Time,2017,https://boxd.it/fcFu,4.5
2023-07-30,Psycho,1960,https://boxd.it/2ab2,5
2023-07-31,Double Indemnity,1944,https://boxd.it/297I,3
2023-07-31,North by Northwest,1959,https://boxd.it/2aRM,5
2023-08-01,To Catch a Thief,1955,https://boxd.it/2avm,3.5
2023-08-01,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3
2023-08-01,Spirited Away,2001,https://boxd.it/2b4m,4.5
2023-08-01,Her,2013,https://boxd.it/4O24,4
2023-08-03,Joker,2019,https://boxd.it/h4cS,4
2023-08-28,The Wailing,2016,https://boxd.it/9fLy,4
2023-10-02,Dial M for Murder,1954,https://boxd.it/2adW,4.5
2023-10-02,The Tenant,1976,https://boxd.it/1TKk,3.5
2023-10-02,Fallen Angels,1995,https://boxd.it/1UkW,3
2023-10-13,House,1977,https://boxd.it/1vsm,3
2023-10-13,Talk to Me,2022,https://boxd.it/C6uQ,3
2023-10-13,The Killing,1956,https://boxd.it/2aMi,3.5
2023-10-16,Blue Velvet,1986,https://boxd.it/29BI,3
2023-10-16,No Country for Old Men,2007,https://boxd.it/21ew,4
2023-10-20,Citizen Kane,1941,https://boxd.it/71O,4
2023-10-22,Annihilation,2018,https://boxd.it/9yzm,3
2023-10-23,Arrival,2016,https://boxd.it/aNGk,4
2023-10-23,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,3
2023-10-23,The Thing,1982,https://boxd.it/294O,4.5
2023-10-24,Chinatown,1974,https://boxd.it/29vU,4
2023-10-24,Prisoners,2013,https://boxd.it/4E5i,5
2023-10-25,A Wolf at the Door,2013,https://boxd.it/6nHy,3.5
2023-10-29,The Invisible Man,1933,https://boxd.it/1VoK,4
2023-10-29,Frankenstein,1931,https://boxd.it/25Te,3.5
2023-10-29,Bride of Frankenstein,1935,https://boxd.it/2aPc,4.5
2023-10-30,Dracula,1958,https://boxd.it/1STA,3
2023-11-01,Dracula,1931,https://boxd.it/2b34,4
2023-11-04,Nosferatu,1922,https://boxd.it/29TM,4
2023-11-04,Shadow of the Vampire,2000,https://boxd.it/1Vb2,3.5
2023-11-09,Nosferatu the Vampyre,1979,https://boxd.it/21J0,4
2023-12-02,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2023-12-03,Amadeus,1984,https://boxd.it/2aH8,5
2023-12-05,Scarface,1983,https://boxd.it/2b7g,5
2023-12-11,Lolita,1962,https://boxd.it/29Ag,3.5
2023-12-11,Rebecca,1940,https://boxd.it/2aQa,3.5
2023-12-23,Mulholland Drive,2001,https://boxd.it/297o,4
2023-12-27,Dream Scenario,2023,https://boxd.it/v2h0,3.5
2023-12-31,The Graduate,1967,https://boxd.it/18Im,3.5
2023-12-31,The Killer,2023,https://boxd.it/u6WE,3
2023-12-31,Clue,1985,https://boxd.it/1MDQ,4
2024-01-01,Chungking Express,1994,https://boxd.it/1UDa,4.5
2024-01-04,The Housemaid,1960,https://boxd.it/WJs,2
2024-01-04,Lady Vengeance,2005,https://boxd.it/248G,2.5
2024-01-05,Bacurau,2019,https://boxd.it/fSUG,4.5
2024-01-05,Bingo: The King of the Mornings,2017,https://boxd.it/fcGs,3.5
2024-01-06,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,3.5
2024-01-07,Embrace of the Serpent,2015,https://boxd.it/baba,4
2024-01-07,Neighboring Sounds,2012,https://boxd.it/3nzS,2.5
2024-01-15,Society of the Snow,2023,https://boxd.it/y9aw,4
2024-01-15,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2024-01-15,PlayTime,1967,https://boxd.it/1WLK,5
2024-01-15,Reflections of a Blender,2010,https://boxd.it/4YgA,3.5
2024-01-21,Beau Is Afraid,2023,https://boxd.it/u2gE,2
2024-01-21,Fallen Leaves,2023,https://boxd.it/Bgew,2
2024-01-22,When Evil Lurks,2023,https://boxd.it/rXBe,4
2024-01-22,Misery,1990,https://boxd.it/28gY,4
2024-01-23,The Exorcist,1973,https://boxd.it/1Yoo,4.5
2024-01-23,They Live,1988,https://boxd.it/20lm,3
2024-01-24,Spartacus,1960,https://boxd.it/29bq,3.5
2024-01-24,Apocalypse Now,1979,https://boxd.it/6ZS,5
2024-01-25,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2024-01-26,The Night of the Hunter,1955,https://boxd.it/25HW,3
2024-01-26,Diabolique,1955,https://boxd.it/29we,4.5
2024-01-29,Mon Oncle,1958,https://boxd.it/2apy,3.5
2024-01-30,The Evil Dead,1981,https://boxd.it/29Go,2
2024-01-30,Army of Darkness,1992,https://boxd.it/29G4,3
2024-01-30,Evil Dead Rise,2023,https://boxd.it/qIvo,3.5
2024-01-30,Alien,1979,https://boxd.it/2awY,4.5
2024-01-30,Aliens,1986,https://boxd.it/29PA,2.5
2024-01-30,Alien³,1992,https://boxd.it/20zS,1
2024-02-01,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2024-02-01,Return of the Jedi,1983,https://boxd.it/27Vm,4
2024-02-01,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,2.5
2024-02-02,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2.5
2024-02-02,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4
2024-02-02,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4
2024-02-03,Hitchcock,2012,https://boxd.it/3LDa,3
2024-02-03,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2024-02-12,Charade,1963,https://boxd.it/23O2,4.5
2024-02-13,Lost Highway,1997,https://boxd.it/29Wc,3.5
2024-02-15,World on a Wire,1973,https://boxd.it/B9me,5
2024-02-15,Life of Brian,1979,https://boxd.it/2a4q,3.5
2024-02-16,Prince of Darkness,1987,https://boxd.it/1ZKq,3.5
2024-02-16,In the Mouth of Madness,1994,https://boxd.it/26vi,4
2024-02-16,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,4
2024-02-16,Incendies,2010,https://boxd.it/Msm,4
2024-02-16,Dune,2021,https://boxd.it/fA7G,3.5
2024-02-17,The Lobster,2015,https://boxd.it/7tnw,3
2024-02-17,The Favourite,2018,https://boxd.it/d2hI,3.5
2024-02-17,Paths of Glory,1957,https://boxd.it/29b6,4.5
2024-02-19,Heaven Knows What,2014,https://boxd.it/8P1a,3
2024-02-26,Alphaville,1965,https://boxd.it/20AG,3.5
2024-02-27,The Zone of Interest,2023,https://boxd.it/gJsA,4
2024-02-29,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2024-03-05,Spaceman,2024,https://boxd.it/nC20,3
2024-03-05,Shin Godzilla,2016,https://boxd.it/a9lm,3.5
2024-03-07,Spellbound,1945,https://boxd.it/24Ji,4
2024-03-20,Pi,1998,https://boxd.it/2ajq,3.5
2024-03-21,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-03-28,I Saw the Devil,2010,https://boxd.it/FaK,3.5
2024-03-29,Porta dos Fundos: Contrato Vitalício,2016,https://boxd.it/dNtG,2.5
2024-03-29,The Nice Guys,2016,https://boxd.it/94Hg,4
2024-04-01,Long Day's Journey Into Night,2018,https://boxd.it/hw1I,4.5
2024-04-01,Burning,2018,https://boxd.it/hHUa,3
2024-04-05,Hard Labor,2011,https://boxd.it/3km2,3.5
2024-04-08,Reservoir Dogs,1992,https://boxd.it/2agc,3
2024-04-20,Late Night with the Devil,2023,https://boxd.it/zo6G,3.5
2024-04-21,"Paris, Texas",1984,https://boxd.it/29Ts,4
2024-04-21,Perfect Days,2023,https://boxd.it/ATh8,4
2024-04-22,Fargo,1996,https://boxd.it/2aHM,3
2024-04-26,Monkey Man,2024,https://boxd.it/kvsO,3.5
2024-05-04,The Room,2003,https://boxd.it/1ICY,0.5
2024-05-04,The Disaster Artist,2017,https://boxd.it/cTqc,4
2024-05-06,The House That Jack Built,2018,https://boxd.it/dWO4,4
2024-05-07,Django Unchained,2012,https://boxd.it/2cCk,4.5
2024-05-08,Mean Streets,1973,https://boxd.it/2aSU,3
2024-05-10,The Devils,1971,https://boxd.it/1inI,4
2024-05-11,Full Metal Jacket,1987,https://boxd.it/2a1Q,3.5
2024-05-14,Killer's Kiss,1955,https://boxd.it/1Xcc,3.5
2024-05-16,Shadow of a Doubt,1943,https://boxd.it/1BtA,3.5
2024-05-19,The Maltese Falcon,1941,https://boxd.it/29c4,3.5
2024-05-20,Sunset Boulevard,1950,https://boxd.it/2a20,4
2024-05-21,The Apartment,1960,https://boxd.it/2aGE,5
2024-05-21,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2024-05-23,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,5
2024-05-23,Barbie,2023,https://boxd.it/bCLK,3
2024-05-27,Persona,1966,https://boxd.it/29B4,3.5
2024-05-27,Solaris,1972,https://boxd.it/2a2Y,4
2024-05-28,Laura,1944,https://boxd.it/27Oq,4.5
2024-05-28,The Revenant,2015,https://boxd.it/8H5e,3.5
2024-06-02,The Third Man,1949,https://boxd.it/294E,5
2024-06-15,Green Room,2015,https://boxd.it/a75m,3.5
2024-06-15,A Quiet Place,2018,https://boxd.it/fVJQ,3
2024-06-16,I Saw the TV Glow,2024,https://boxd.it/woVe,4
2024-06-18,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,4
2024-06-19,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2024-06-19,Problemista,2023,https://boxd.it/waGO,3.5
2024-06-28,Jurassic Park,1993,https://boxd.it/2aA2,3.5
2024-06-29,In a Violent Nature,2024,https://boxd.it/K5eI,4
2024-06-30,Circle,2015,https://boxd.it/b5So,1
2024-06-30,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,3.5
2024-07-01,Friday the 13th,1980,https://boxd.it/24fs,3
2024-07-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/1XiE,3
2024-07-02,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,4.5
2024-07-02,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/1X9W,2
2024-07-03,Wes Craven's New Nightmare,1994,https://boxd.it/1TsU,3
2024-07-03,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2024-07-04,Evil Dead,2013,https://boxd.it/3GPq,4
2024-07-05,Inside,2023,https://boxd.it/AagY,1.5
2024-07-06,The Devil's Bath,2024,https://boxd.it/z7to,4
2024-07-09,Blow Out,1981,https://boxd.it/1TlE,4.5
2024-07-09,Body Double,1984,https://boxd.it/1TGW,3.5
2024-07-09,The House of the Devil,2009,https://boxd.it/1uIe,4
2024-07-09,Dressed to Kill,1980,https://boxd.it/1UO8,3.5
2024-07-09,Phantom of the Paradise,1974,https://boxd.it/1s34,4
2024-07-09,The Conversation,1974,https://boxd.it/2a38,4.5
2024-07-09,Some Kind of Heaven,2020,https://boxd.it/nH7Y,3.5
2024-07-10,Studio 666,2022,https://boxd.it/xPEw,2.5
2024-07-11,Ren Faire,2024,https://boxd.it/MsUc,4
2024-07-11,The Master,2012,https://boxd.it/2cBG,3
2024-07-14,Inherent Vice,2014,https://boxd.it/5hla,3.5
2024-07-14,There Will Be Blood,2007,https://boxd.it/20Z2,4
2024-07-15,The 400 Blows,1959,https://boxd.it/2b1C,5
2024-07-18,SPERMWORLD,2024,https://boxd.it/IE5C,4
2024-07-23,Kaili Blues,2015,https://boxd.it/cksW,3.5
2024-07-24,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2024-07-24,The Fog,1980,https://boxd.it/29Cc,3.5
